Name,Country,National Antarctic Program,Status,Period of Operation in Antarctic Treaty Area,Type of Vessel,Polar Class (IACS),Length (m),Beam (m),Gross Tonnage (t),Maximum Crew,Maximum Passenger,Photo URL,Photo Credit
Almirante Irizar,Argentina,National Antarctic Directorate,In Service,January;February;March;November;December,,,121,25,14,230,83,https://comnap.quickbase.com/up/bmicj3ee9/a/r5/e15/v0/Almirante%20Irizar.jpg,http://www.irizar.mindef.gob.ar/
Bahia Agradable ,Argentina,National Antarctic Directorate,In Service,January;February;March;November;December,,,180,20,2723,58,13,,
Canal Beagle,Argentina,National Antarctic Directorate,In Service,January;February;March,Cargo,,,17.5,"10,894",40,80,,
Islas Malvinas,Argentina,National Antarctic Directorate,,,,,,,,,,,
Puerto Argentino,Argentina,National Antarctic Directorate,In Service,January;February;March;December,,,81,16,2723,67,,https://comnap.quickbase.com/up/bmicj3ee9/a/r66/e15/v0/aviso_puerto_argentino.jpg,https://www.argentina.gob.ar/aviso-ara-puerto-argentino-21
Puerto Deseado,Argentina,National Antarctic Directorate,In Service,,Research,,,13.2,2400,61,80,,
Suboficial Castillo,Argentina,National Antarctic Directorate,,,,,,11.7,1789,64,,,
Aurora Australis,Australia,Australian Antarctic Division,Decommissioned,January;February;March;October;November;December,Multi Purpose,,94.91,20.3,3091,27,116,https://comnap.quickbase.com/up/bmicj3ee9/a/r11/e15/v0/Aurora%20Australis.jpg,Wendy Pyper
Everest,Australia,Australian Antarctic Division,In Service,January;February;March;December,Multi Purpose,,140,,"21,943",,100,https://comnap.quickbase.com/up/bmicj3ee9/a/r68/e15/v0/antarctic.jpg,MCS/AAD
Investigator,Australia,Australian Antarctic Division,In Service,January;February;March,Research,,93.9,18.5,6082,20,40,,
Nuyina ,Australia,Australian Antarctic Division,In Service,,Cargo ; Research ; Supply,,160.3,25.6,,32,117,https://comnap.quickbase.com/up/bmicj3ee9/a/r51/e15/v0/Nuyina.png, Damen/DMS Maritime/Knud E Hansen A/S
Almirante Maximiano,Brazil,Brazilian Antarctic Programme,In Service,January;February;March;November;December,,,93.4,13.4,5450,78,30,https://comnap.quickbase.com/up/bmicj3ee9/a/r6/e15/v0/Aerial%20View%20of%20the%20Antarctic%20Modules%20Emergency%20-%20With%20ice_PROANTAR.JPG,PROANTAR
Ary Rongel,Brazil,Brazilian Antarctic Programme,In Service,January;February;March;November;December,Research,,75.2,13,3700,78,27,,
Antarctic Warrior,Chile,Chilean Antarctic Institute,In Service,,Cargo,,82.95,,2960,,,,
Antarctica I,Chile,Chilean Antarctic Institute,Under Construction,,,,,,,,,,
